Tranfer Learning Trainning log
Epoch: 64	 loss: 2.3027	 accuracy: 0.08
Epoch: 65	 loss: 2.3023	 accuracy: 0.08
Epoch: 66	 loss: 2.3030	 accuracy: 0.08
Epoch: 67	 loss: 2.3029	 accuracy: 0.08
Epoch: 68	 loss: 2.3021	 accuracy: 0.08
Epoch: 69	 loss: 2.3026	 accuracy: 0.08
Epoch: 70	 loss: 2.3016	 accuracy: 0.08
Epoch: 71	 loss: 2.3027	 accuracy: 0.08
Epoch: 72	 loss: 2.3027	 accuracy: 0.08
Epoch: 73	 loss: 2.3029	 accuracy: 0.08
Epoch: 74	 loss: 2.3024	 accuracy: 0.08
Epoch: 75	 loss: 2.3031	 accuracy: 0.08
Epoch: 76	 loss: 2.3025	 accuracy: 0.08
Epoch: 77	 loss: 2.3029	 accuracy: 0.08
Epoch: 78	 loss: 2.3027	 accuracy: 0.08
Epoch: 79	 loss: 2.3028	 accuracy: 0.08
Epoch: 80	 loss: 2.3024	 accuracy: 0.08
Epoch: 81	 loss: 2.3028	 accuracy: 0.08
Epoch: 82	 loss: 2.3025	 accuracy: 0.08
Epoch: 83	 loss: 2.3024	 accuracy: 0.08
Epoch: 84	 loss: 2.3017	 accuracy: 0.08
Epoch: 85	 loss: 2.3025	 accuracy: 0.08
Epoch: 86	 loss: 2.3023	 accuracy: 0.08
Epoch: 87	 loss: 2.3025	 accuracy: 0.08
Epoch: 88	 loss: 2.3025	 accuracy: 0.08
Epoch: 89	 loss: 2.3030	 accuracy: 0.08
Epoch: 90	 loss: 2.3023	 accuracy: 0.08
Epoch: 91	 loss: 2.3022	 accuracy: 0.08
Epoch: 92	 loss: 2.3022	 accuracy: 0.08
Epoch: 93	 loss: 2.3019	 accuracy: 0.08
Epoch: 94	 loss: 2.3018	 accuracy: 0.08
Epoch: 95	 loss: 2.3032	 accuracy: 0.08
Epoch: 96	 loss: 2.3025	 accuracy: 0.08
Epoch: 97	 loss: 2.3022	 accuracy: 0.08
Epoch: 98	 loss: 2.3023	 accuracy: 0.08
Epoch: 99	 loss: 2.3028	 accuracy: 0.08
Epoch: 0	 loss: 2.3044	 accuracy: 0.09
Epoch: 1	 loss: 2.3023	 accuracy: 0.09
Epoch: 2	 loss: 2.3018	 accuracy: 0.09
Epoch: 3	 loss: 2.3026	 accuracy: 0.09
Epoch: 4	 loss: 2.3030	 accuracy: 0.09
Epoch: 5	 loss: 2.3058	 accuracy: 0.09
Epoch: 6	 loss: 2.3020	 accuracy: 0.09
Epoch: 7	 loss: 2.2984	 accuracy: 0.09
Epoch: 8	 loss: 2.3047	 accuracy: 0.09
Epoch: 9	 loss: 2.3034	 accuracy: 0.09
Epoch: 10	 loss: 2.3031	 accuracy: 0.09
Epoch: 11	 loss: 2.2999	 accuracy: 0.09
Epoch: 12	 loss: 2.3017	 accuracy: 0.09
Epoch: 13	 loss: 2.3016	 accuracy: 0.09
Epoch: 14	 loss: 2.3025	 accuracy: 0.09
Epoch: 15	 loss: 2.3029	 accuracy: 0.09
Epoch: 16	 loss: 2.3046	 accuracy: 0.09
Epoch: 17	 loss: 2.3019	 accuracy: 0.09
Epoch: 18	 loss: 2.3019	 accuracy: 0.09
Epoch: 19	 loss: 2.3020	 accuracy: 0.09
Epoch: 20	 loss: 2.3037	 accuracy: 0.09
Epoch: 21	 loss: 2.3034	 accuracy: 0.09
Epoch: 22	 loss: 2.3022	 accuracy: 0.09
Epoch: 23	 loss: 2.3022	 accuracy: 0.09
Epoch: 24	 loss: 2.3013	 accuracy: 0.09
Epoch: 25	 loss: 2.3032	 accuracy: 0.09
Epoch: 26	 loss: 2.3037	 accuracy: 0.09
Epoch: 27	 loss: 2.3023	 accuracy: 0.09
Epoch: 28	 loss: 2.3034	 accuracy: 0.09
Epoch: 29	 loss: 2.3031	 accuracy: 0.09
Epoch: 30	 loss: 2.3031	 accuracy: 0.09
